,,,,,,,,,,,,,,,,,,,,,,
LSPS - Open ACTs ever owned by MRS Groups,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2381723,Duplicate transaction needs to be deleted,,,,,SUBMITTED,,3,5/6/14,2:48:52 AM,,E045259,,,MRSOWN,5/7/14,11:43:42 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
5/7/14,,11:38:41 AM,E040876,,,,|cec|D|N|.5|More information required,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2413448,Transaction Record 35 - Urgent,,,,,SUBMITTED,,1,5/21/14,7:40:05 AM,,E037398,,,CHDRSL,5/21/14,4:48:47 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
5/21/14,,8:33:43 AM,E047589,,,,|ahb|G|N|1|Forwarding this to BATCH team to investigate,,,,,,,,,,,,,,,
5/21/14,,4:45:25 PM,E047718,,,,"|ahb|G|Y|3|, I have processed the transactions",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2445358,FRN File Processing (ICA 14856),,,,,SUBMITTED,,3,6/9/14,4:10:20 PM,,E040220,,,MRSOWN,6/10/14,7:08:17 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
6/9/14,,4:15:43 PM,E033372,,,,|frn|B|N|.5|  Routing to MRS-Batch-Support,,,,,,,,,,,,,,,
6/10/14,,7:07:10 AM,E043187,,,,|frn|B|N|.5|  Files processed successfully,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2451366,Back Score FRN Transactions (ICA 14857),,,,,SUBMITTED,,3,6/12/14,10:19:57 AM,,E040220,,,MRSOWN,6/13/14,2:45:43 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
6/12/14,,1:50:27 PM,E033372,,,,|frn|B|N|.5| Routing to Batch Support.  See instructions in log,,,,,,,,,,,,,,,
6/13/14,,2:44:57 AM,E038105,,,,|frn|B|N|1|File created and transfered,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2456182,Trialpay Analysis (ICA 14856,,,,,SUBMITTED,,3,6/16/14,9:27:13 AM,,E040220,,,MRSOWN,6/26/14,3:15:05 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
6/20/14,,11:01:05 AM,E020147,,,,|tp|G|N|.25| routing ticket batch support for completion,,,,,,,,,,,,,,,
6/26/14,,3:06:02 AM,E040832,,,,|tp|G|N|.5| completed-Trialpay Analysis (ICA 14856),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2470490,Please remove the six bad records from todays KeyBank RE89 file,,,,,SUBMITTED,,3,6/24/14,2:09:38 PM,,E028265,,,CHDRSL,6/25/14,12:58:38 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
6/25/14,,12:56:44 AM,E043188,,,,|kb|B|N|2|Removed the bad record and processed Successfully.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2474201,Not-enrolled customer,,,,,SUBMITTED,,3,6/26/14,6:18:42 AM,,E043587,,,GIS,7/28/14,12:08:05 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
6/26/14,,8:57:53 AM,E035247,,,,"|mc|G|N|.25| Transferring to Fior, Murillo",,,,,,,,,,,,,,,
7/28/14,,12:07:11 AM,E046572,,,,|pbp|B|N|1| File received and processed,,,,,,,,,,,,,,,
7/2/14,,9:30:27 AM,E043587,,,,Missing file,,,,,,,,,,,,,,,
7/4/14,,4:48:11 PM,E047589,,,,|pbp|G|N|1|Status,,,,,,,,,,,,,,,
7/7/14,,1:04:46 PM,E047589,,,,|pbp|G|N|1|Details below,,,,,,,,,,,,,,,
