,,,,,,,,,,,,,,,,,,,,
LTS - PRB Report2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Problem details,,,,,,,,,,,,,,,,,,,,
Problem,Summary,,,,Status,Reported Date,,,Target Finish,,Priority,,Owner,Owner Name,Owner Group,,,Responsible Group,,Environment
PRB65892,Capital One ICA #1001- Redemption Detail Report and OLT,,,,INPROG,8/25/14,,1:44:31 PM,10/24/15,1:44:31 PM,3,,E024794,,,,,MRS-BATCH,,
,,,,,,,,,,,,,,,,,,,,
All the work log entries,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,
9/26/14,,10:11:56 AM,E046382,,,,Sent an email to customer for more information,,,,,,,,,,,,,
10/6/14,,9:58:06 AM,E046382,,,,Not a reporting issue,,,,,,,,,,,,,
9/29/14,,2:29:08 PM,E046382,,,,Update from customer and developer,,,,,,,,,,,,,
9/25/14,,2:05:01 PM,E046382,,,,Sent an email to developer for analysis,,,,,,,,,,,,,
5/8/15,,11:35:20 AM,B013429,,,,Changing Release Slotting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the specifications,,,,,,,,,,,,,,,,,,,,
Attribute,,,,,,,,,,,,Alphanumeric Value,,,,,,,,
MRSCOMPONENT,,,,,,,,,,,,,,,,,,,,
MRSBREAKFIX,,,,,,,,,,,,Customer Issue,,,,,,,,
MRSOTHER,,,,,,,,,,,,Missing functionality,,,,,,,,
MRSREQUEST,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the related records,,,,,,,,,,,,,,,,,,,,
Related Record Key,,,,,,,,,,,,,,,,,,,,
ACT2554907,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Problem details,,,,,,,,,,,,,,,,,,,,
Problem,Summary,,,,Status,Reported Date,,,Target Finish,,Priority,,Owner,Owner Name,Owner Group,,,Responsible Group,,Environment
PRB70759,CS - Web Service GetPointDetails Defect,,,,INPROG,6/9/15,,2:25:59 PM,7/25/15,9:53:56 AM,3,,E045378,,,,,MRS-DEVELOPMENT,,
,,,,,,,,,,,,,,,,,,,,
All the work log entries,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,
7/3/15,,1:27:16 PM,E045378,,,,Fix deployed to stage environment,,,,,,,,,,,,,
6/15/15,,9:54:55 AM,B013429,,,,Received by Development,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the specifications,,,,,,,,,,,,,,,,,,,,
Attribute,,,,,,,,,,,,Alphanumeric Value,,,,,,,,
MRSCOMPONENT,,,,,,,,,,,,Loyalty Analysis (Web Focus),,,,,,,,
MRSBREAKFIX,,,,,,,,,,,,,,,,,,,,
MRSOTHER,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the related records,,,,,,,,,,,,,,,,,,,,
Related Record Key,,,,,,,,,,,,,,,,,,,,
INC837528,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Problem details,,,,,,,,,,,,,,,,,,,,
Problem,Summary,,,,Status,Reported Date,,,Target Finish,,Priority,,Owner,Owner Name,Owner Group,,,Responsible Group,,Environment
PRB69148,IR/CS:Online Travel SAML - MTF - Foreign characters appearing as ?? in SAML,,,,KNOWNERROR,3/3/15,,2:02:52 PM,7/25/15,9:47:41 AM,3,,B013429,,,,,MRS-SUPPORT,,
,,,,,,,,,,,,,,,,,,,,
All the work log entries,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,
3/4/15,,8:26:11 AM,B013429,,,,Received by Development,,,,,,,,,,,,,
6/3/15,,11:01:37 AM,E028239,,,,Issue fixed and tested in stage,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the specifications,,,,,,,,,,,,,,,,,,,,
Attribute,,,,,,,,,,,,Alphanumeric Value,,,,,,,,
MRSCOMPONENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the related records,,,,,,,,,,,,,,,,,,,,
Related Record Key,,,,,,,,,,,,,,,,,,,,
INC789443,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Problem details,,,,,,,,,,,,,,,,,,,,
Problem,Summary,,,,Status,Reported Date,,,Target Finish,,Priority,,Owner,Owner Name,Owner Group,,,Responsible Group,,Environment
PRB69282,Defect in MRS SM Member Parent Group Security screen,,,,KNOWNERROR,3/11/15,,3:09:29 PM,7/25/15,10:33:30 AM,3,,B013429,,,,,MRS-DEVELOPMENT,,
,,,,,,,,,,,,,,,,,,,,
All the work log entries,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,
3/12/15,,10:36:21 AM,B013429,,,,Received by Development,,,,,,,,,,,,,
5/22/15,,2:25:34 AM,E042018,,,,MRS-10736,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the specifications,,,,,,,,,,,,,,,,,,,,
Attribute,,,,,,,,,,,,Alphanumeric Value,,,,,,,,
MRSCOMPONENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the related records,,,,,,,,,,,,,,,,,,,,
Related Record Key,,,,,,,,,,,,,,,,,,,,
INC792987,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Problem details,,,,,,,,,,,,,,,,,,,,
Problem,Summary,,,,Status,Reported Date,,,Target Finish,,Priority,,Owner,Owner Name,Owner Group,,,Responsible Group,,Environment
PRB69291,Point Summary Report - Month & Year-to-Date totals do not match for January for Cancelled Status - Silicon Valley Bank (ICA 10204),,,,KNOWNERROR,3/12/15,,5:39:11 AM,7/25/15,10:40:56 AM,3,,B013429,,,,,MRS-SUPPORT,,
,,,,,,,,,,,,,,,,,,,,
All the work log entries,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,
3/12/15,,10:43:02 AM,B013429,,,,Received by Development,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
All the specifications,,,,,,,,,,,,,,,,,,,,
